,Start Date,End Date,total_felony_arrest,violent_felony_arrest,total_misdemeanor_arrest,arrest_murder_homicide_count,arrest_robbery_count,arrest_assault_count,arrest_burglary_count,arrest_rape_count,arrest_grand_larceny_count,arrest_grand_larceny_vehicle_count,arrest_weapons_count,nonviolent_felony_arrest
0,2016-05-05,2016-06-03,8424,2357,18603,61,899,1330,419,67,930,90,656,6067
1,2016-06-04,2016-07-03,7482,2244,17114,82,757,1336,323,69,744,104,573,5238
2,2016-07-04,2016-08-02,7595,2437,15139,99,836,1430,374,72,835,86,500,5158
3,2016-08-03,2016-09-01,8069,2429,17217,89,866,1398,418,76,888,105,603,5640
4,2016-09-02,2016-10-01,7565,2206,16367,74,852,1222,419,58,738,110,599,5359
5,2016-10-02,2016-10-31,7831,2203,17390,74,859,1202,361,68,833,85,609,5628
6,2016-11-01,2016-11-30,6997,1993,15535,84,761,1114,309,34,786,110,509,5004
7,2016-12-01,2016-12-30,7174,2000,15073,72,766,1114,356,48,773,73,541,5174
8,2016-12-31,2017-01-29,7445,2193,16570,71,821,1255,349,46,691,108,506,5252
9,2017-01-30,2017-02-28,7448,2135,16315,61,824,1205,377,45,802,86,488,5313
10,2017-03-01,2017-03-30,7400,1987,16640,59,675,1208,310,45,784,89,546,5413
11,2017-03-31,2017-04-29,7472,2107,16674,71,731,1253,339,52,838,136,539,5365
12,2017-04-30,2017-05-29,7424,2314,15701,79,829,1349,331,57,815,87,511,5110
13,2017-05-30,2017-06-28,7467,2390,15389,85,900,1346,349,59,749,105,570,5077
14,2017-06-29,2017-07-28,7403,2261,15079,81,784,1343,360,53,787,109,569,5142
15,2017-07-29,2017-08-27,7320,2159,15085,82,785,1238,367,54,803,126,495,5161
16,2017-08-28,2017-09-26,7124,2107,14576,86,760,1200,396,61,736,121,523,5017
17,2017-09-27,2017-10-26,8089,2395,16115,98,886,1324,423,87,895,111,591,5694
18,2017-10-27,2017-11-25,7083,1992,14829,101,737,1093,359,61,934,85,500,5091
19,2017-11-26,2017-12-25,6578,1948,13737,67,761,1059,313,61,839,88,402,4630
20,2017-12-26,2018-01-24,6854,1933,14342,60,700,1116,272,57,892,81,503,4921
21,2018-01-25,2018-02-23,7739,2191,15490,78,759,1267,423,87,940,84,509,5548
22,2018-02-24,2018-03-25,6926,1959,14074,53,662,1185,329,59,775,71,457,4967
23,2018-03-26,2018-04-24,7323,2121,13768,55,786,1207,365,73,820,74,464,5202
24,2018-04-25,2018-05-24,7598,2189,13642,65,722,1324,356,78,1025,68,505,5409
25,2018-05-25,2018-06-23,7097,2298,12291,78,784,1375,371,61,766,86,452,4799
26,2018-06-24,2018-07-23,6934,2119,12134,93,747,1217,372,62,796,95,529,4815
27,2018-07-24,2018-08-22,7686,2416,12773,75,852,1418,472,71,837,124,508,5270
28,2018-08-23,2018-09-21,7321,2261,12016,108,768,1316,398,69,914,79,554,5060
29,2018-09-22,2018-10-21,6694,2052,11082,54,727,1207,419,64,720,88,427,4642
30,2018-10-22,2018-11-20,6908,2078,11107,74,764,1181,343,59,871,110,451,4830
31,2018-11-21,2018-12-20,6796,1904,11186,58,682,1099,389,65,987,51,439,4892
32,2018-12-21,2019-01-19,6439,1860,10809,8,644,1141,343,67,713,77,515,4579
33,2019-01-20,2019-02-18,6960,1854,11547,2,700,1067,405,85,866,51,491,5106
34,2019-02-19,2019-03-20,6973,1847,11643,1,658,1106,401,82,888,53,475,5126
35,2019-03-21,2019-04-19,7439,2156,11782,0,717,1346,385,93,863,109,539,5283
36,2019-04-20,2019-05-19,6991,2071,10998,1,704,1287,350,79,805,75,485,4920
37,2019-05-20,2019-06-18,7086,2279,10967,0,778,1412,341,89,826,96,489,4807
38,2019-06-19,2019-07-18,7099,2227,10676,3,767,1383,332,74,775,105,453,4872
39,2019-07-19,2019-08-17,7483,2333,10924,1,861,1410,411,61,947,121,488,5150
40,2019-08-18,2019-09-16,6546,2155,9175,2,816,1274,350,63,712,128,440,4391
41,2019-09-17,2019-10-16,6720,2149,9803,2,877,1183,355,87,781,112,384,4571
42,2019-10-17,2019-11-15,6717,2190,9287,0,879,1241,351,70,817,86,378,4527
43,2019-11-16,2019-12-15,6164,1996,8636,2,717,1228,361,49,807,91,302,4168
44,2019-12-16,2020-01-14,5491,1832,7445,3,703,1092,391,34,621,71,348,3659
45,2020-01-15,2020-02-13,6786,2216,9035,5,904,1246,450,61,873,103,362,4570
46,2020-02-14,2020-03-14,6894,2274,9373,1,934,1276,497,63,858,97,427,4620
