,Start Date,End Date,total_felony_crimes,violent_felony_crimes,total_misdemeanor_crimes,murder_homicide_count,robbery_count,assault_count,burglary_count,rape_count,grand_larceny_count,grand_larceny_vehicle_count,weapons_count,nonviolent_felony_crimes
0,2016-05-05,2016-06-03,12726,3229,23261,30,1262,1807,1055,130,3730,578,493,9497
1,2016-06-04,2016-07-03,12717,3361,22877,35,1283,1906,1094,137,3773,558,438,9356
2,2016-07-04,2016-08-02,12877,3583,21861,39,1351,2046,1102,147,3790,598,365,9294
3,2016-08-03,2016-09-01,13264,3514,22588,36,1365,1979,1136,134,3810,661,473,9750
4,2016-09-02,2016-10-01,12549,3302,21660,37,1343,1805,1055,117,3681,587,462,9247
5,2016-10-02,2016-10-31,12786,3169,21340,22,1332,1709,1116,106,3888,576,498,9617
6,2016-11-01,2016-11-30,12052,2975,20219,26,1271,1583,1075,95,3840,537,434,9077
7,2016-12-01,2016-12-30,12039,2973,19809,24,1313,1522,1113,114,3882,404,398,9066
8,2016-12-31,2017-01-29,11622,3001,20903,24,1244,1614,1047,119,3411,426,397,8621
9,2017-01-30,2017-02-28,10899,2629,19469,18,1040,1479,953,92,3188,418,404,8270
10,2017-03-01,2017-03-30,10707,2592,19555,18,961,1517,905,96,3212,380,394,8115
11,2017-03-31,2017-04-29,11230,2728,20986,20,1045,1547,926,116,3422,347,389,8502
12,2017-04-30,2017-05-29,11635,3070,21817,21,1121,1810,940,118,3454,427,373,8565
13,2017-05-30,2017-06-28,12099,3199,22324,22,1202,1834,928,141,3644,474,396,8900
14,2017-06-29,2017-07-28,12583,3268,22664,42,1195,1882,1056,149,3746,517,420,9315
15,2017-07-29,2017-08-27,12366,3186,22478,17,1247,1801,994,121,3681,574,422,9180
16,2017-08-28,2017-09-26,12086,3041,22234,19,1144,1729,996,149,3777,523,395,9045
17,2017-09-27,2017-10-26,12620,3115,22303,29,1206,1746,1119,134,3747,555,466,9505
18,2017-10-27,2017-11-25,11714,2867,20630,32,1195,1521,1082,119,3705,494,389,8847
19,2017-11-26,2017-12-25,11528,2899,20106,26,1262,1491,1050,120,3704,446,331,8629
20,2017-12-26,2018-01-24,10684,2625,19536,21,1064,1435,928,105,3248,408,395,8059
21,2018-01-25,2018-02-23,11122,2693,20671,14,1049,1520,950,110,3295,360,388,8429
22,2018-02-24,2018-03-25,10592,2543,19880,28,879,1503,841,133,3153,366,367,8049
23,2018-03-26,2018-04-24,10986,2691,20751,25,923,1622,914,121,3248,379,399,8295
24,2018-04-25,2018-05-24,11730,3105,21406,33,1095,1815,904,162,3463,412,377,8625
25,2018-05-25,2018-06-23,12309,3254,21702,34,1157,1920,968,143,3823,440,383,9055
26,2018-06-24,2018-07-23,12124,3024,21541,29,1070,1776,972,149,3804,526,392,9100
27,2018-07-24,2018-08-22,12445,3161,21902,29,1119,1889,1065,124,3805,620,395,9284
28,2018-08-23,2018-09-21,12276,3070,21254,27,1090,1803,1068,150,3828,554,421,9206
29,2018-09-22,2018-10-21,11746,2986,20196,30,1191,1642,1017,123,3624,487,350,8760
30,2018-10-22,2018-11-20,11649,2842,19664,19,1109,1591,966,123,3797,448,382,8807
31,2018-11-21,2018-12-20,11386,2648,19237,18,1011,1490,959,129,3869,368,343,8738
32,2018-12-21,2019-01-19,11117,2770,19147,30,1003,1598,949,139,3320,346,410,8347
33,2019-01-20,2019-02-18,10220,2468,18304,24,947,1380,834,117,2965,315,399,7752
34,2019-02-19,2019-03-20,10224,2406,18657,12,811,1459,739,124,3041,286,361,7818
35,2019-03-21,2019-04-19,11087,2808,19642,19,950,1706,806,133,3179,349,419,8279
36,2019-04-20,2019-05-19,11046,2858,20118,20,943,1761,781,134,3288,340,366,8188
37,2019-05-20,2019-06-18,12196,3221,21182,22,1131,1934,842,134,3640,426,364,8975
38,2019-06-19,2019-07-18,12845,3391,21864,36,1174,2024,932,157,3806,543,365,9454
39,2019-07-19,2019-08-17,12983,3356,21576,34,1166,2008,995,148,3851,601,353,9627
40,2019-08-18,2019-09-16,12458,3267,20678,33,1264,1817,986,153,3758,588,324,9191
41,2019-09-17,2019-10-16,12572,3240,20993,39,1359,1709,961,133,3986,551,313,9332
42,2019-10-17,2019-11-15,12142,3093,19902,23,1282,1675,954,113,3903,484,299,9049
43,2019-11-16,2019-12-15,11582,2958,19576,20,1152,1661,947,125,3706,456,249,8624
44,2019-12-16,2020-01-14,11447,2915,18858,19,1258,1539,1080,99,3562,518,278,8532
45,2020-01-15,2020-02-13,11697,2976,19586,28,1266,1577,1103,105,3607,543,275,8721
46,2020-02-14,2020-03-14,11622,2934,19441,23,1126,1662,1029,123,3390,477,296,8688
47,2020-03-15,2020-04-13,8171,2153,12968,25,765,1300,1091,63,1885,563,208,6018
48,2020-04-14,2020-05-13,8616,2153,14525,28,694,1345,1189,86,1941,568,287,6463
49,2020-05-14,2020-06-12,10907,2789,16682,49,896,1742,1841,102,2151,669,327,8118
50,2020-06-13,2020-07-12,10558,3384,16887,50,1029,2186,1201,119,2665,744,103,7174
51,2020-07-13,2020-08-11,11387,3314,17746,43,1207,1967,1239,97,3082,949,167,8073
52,2020-08-12,2020-09-10,12689,3362,18312,69,1219,1945,1330,129,3463,1083,429,9327
53,2020-09-11,2020-10-10,12332,3125,17899,47,1205,1756,1401,117,3485,917,405,9207
54,2020-10-11,2020-11-09,12021,3234,18234,47,1208,1869,1322,110,3306,909,391,8787
55,2020-11-10,2020-12-09,11854,2822,17631,23,1115,1584,1357,100,3097,896,386,9032
56,2020-12-10,2021-01-08,10888,2793,16468,33,1098,1556,1318,106,2611,691,377,8095
57,2021-01-09,2021-02-07,9939,2453,15913,37,862,1478,953,76,2339,569,338,7486
58,2021-02-08,2021-03-09,10101,2484,16537,28,890,1478,928,88,2506,560,358,7617
59,2021-03-10,2021-04-08,10518,2655,17004,35,806,1706,891,108,2675,677,323,7863
60,2021-04-09,2021-05-08,10658,2829,16936,46,963,1730,878,90,2792,781,203,7829
61,2021-05-09,2021-06-07,11891,3375,18547,42,1177,2058,953,98,2925,890,316,8516
62,2021-06-08,2021-07-07,12286,3435,18769,38,1153,2115,979,129,3135,894,357,8851
63,2021-07-08,2021-08-06,12726,3454,19382,40,1213,2071,1034,130,3332,1019,334,9272
64,2021-08-07,2021-09-05,12543,3393,18914,55,1138,2087,984,113,3441,984,333,9150
65,2021-09-06,2021-10-05,13734,3713,20160,49,1330,2219,1207,115,3954,991,351,10021
66,2021-10-06,2021-11-04,14043,3738,20697,38,1461,2136,1245,103,4297,997,358,10305
67,2021-11-05,2021-12-04,15299,3552,20298,28,1448,1966,1336,110,5679,993,331,11747
68,2021-12-05,2022-01-03,14014,3301,18992,48,1309,1842,1299,102,4792,1005,310,10713
69,2022-01-04,2022-02-02,12681,3025,18375,31,1197,1693,1155,104,3714,1103,339,9656
70,2022-02-03,2022-03-04,13868,3430,20607,30,1383,1907,1329,110,3839,1158,391,10438
71,2022-03-05,2022-04-03,13644,3408,21876,36,1252,2019,1308,101,3793,995,381,10236
72,2022-04-04,2022-05-03,13881,3525,22030,32,1289,2113,1261,91,3957,943,380,10356
73,2022-05-04,2022-06-02,14726,3916,22867,48,1442,2308,1238,118,4068,1002,428,10810
74,2022-06-03,2022-07-02,15780,4320,23895,39,1598,2549,1302,134,4601,1161,383,11460
75,2022-07-03,2022-08-01,15728,4423,23208,50,1690,2544,1337,139,4527,1235,385,11305
76,2022-08-02,2022-08-31,15181,4058,23091,30,1607,2316,1337,105,4490,1158,425,11123
77,2022-09-01,2022-09-30,15552,3928,22804,43,1528,2238,1461,119,4661,1229,450,11624
78,2022-10-01,2022-10-30,15173,3707,22899,29,1454,2108,1386,116,4448,1194,473,11466
79,2022-10-31,2022-11-29,14755,3715,22746,33,1510,2084,1263,88,4218,1140,387,11040
80,2022-11-30,2022-12-29,13815,3306,20866,35,1244,1940,1248,87,4029,1272,314,10509
81,2022-12-30,2023-01-28,14475,3480,22223,34,1290,2047,1257,109,3922,1168,438,10995
82,2023-01-29,2023-02-27,14011,3460,21846,34,1282,2037,1173,107,3741,1194,397,10551
83,2023-02-28,2023-03-29,14265,3430,21969,32,1224,2087,1165,87,3896,1104,402,10835
84,2023-03-30,2023-04-28,14958,3635,22528,35,1232,2276,1142,92,3974,1290,491,11323
85,2023-04-29,2023-05-28,15223,3793,23671,36,1313,2348,1117,96,4066,1303,441,11430
86,2023-05-29,2023-06-27,15808,4154,24020,31,1437,2606,1034,80,4276,1353,443,11654
87,2023-06-28,2023-07-27,16048,4244,23877,35,1484,2618,1129,107,4126,1454,478,11804
88,2023-07-28,2023-08-26,15986,4085,23517,33,1532,2433,1152,87,4282,1470,417,11901
89,2023-08-27,2023-09-25,15390,4016,22742,32,1487,2408,1108,89,4044,1409,499,11374
90,2023-09-26,2023-10-25,14995,3795,23428,26,1445,2238,1069,86,3881,1326,507,11200
91,2023-10-26,2023-11-24,14610,3734,22997,26,1425,2212,1100,71,3736,1228,426,10876
92,2023-11-25,2023-12-24,13593,3572,21858,35,1462,1996,1040,79,3661,1169,353,10021
93,2023-12-25,2024-01-23,13756,3570,21125,23,1406,2047,993,94,3474,1099,424,10186
94,2024-01-24,2024-02-22,14513,3487,23939,20,1299,2080,1036,88,3773,1006,459,11026
95,2024-02-23,2024-03-23,14267,3552,23658,24,1230,2193,1053,105,3620,958,461,10715
96,2024-03-24,2024-04-22,14199,3784,22723,24,1346,2331,1000,83,3424,1122,427,10415
97,2024-04-23,2024-05-22,14793,3929,23909,27,1360,2446,1021,96,3603,1127,436,10864
98,2024-05-23,2024-06-21,15065,4297,24731,34,1430,2729,1011,104,3375,1194,573,10768
