,Start Date,End Date,admission_count,discharge_count
0,2016-05-05,2016-05-11,1133,1085
1,2016-05-12,2016-05-18,1274,1223
2,2016-05-19,2016-05-25,1241,1237
3,2016-05-26,2016-06-01,1073,1083
4,2016-06-02,2016-06-08,1131,1157
5,2016-06-09,2016-06-15,1147,1165
6,2016-06-16,2016-06-22,1157,1139
7,2016-06-23,2016-06-29,1183,1173
8,2016-06-30,2016-07-06,1088,1084
9,2016-07-07,2016-07-13,1115,1189
10,2016-07-14,2016-07-20,1069,1068
11,2016-07-21,2016-07-27,1123,1111
12,2016-07-28,2016-08-03,1113,1089
13,2016-08-04,2016-08-10,1204,1175
14,2016-08-11,2016-08-17,1053,1059
15,2016-08-18,2016-08-24,1066,1057
16,2016-08-25,2016-08-31,1112,1021
17,2016-09-01,2016-09-07,1099,1057
18,2016-09-08,2016-09-14,1115,1133
19,2016-09-15,2016-09-21,1133,1148
20,2016-09-22,2016-09-28,1038,1105
21,2016-09-29,2016-10-05,1033,1091
22,2016-10-06,2016-10-12,1020,958
23,2016-10-13,2016-10-19,1160,1139
24,2016-10-20,2016-10-26,1100,1101
25,2016-10-27,2016-11-02,1114,1153
26,2016-11-03,2016-11-09,1145,1066
27,2016-11-10,2016-11-16,967,992
28,2016-11-17,2016-11-23,984,1176
29,2016-11-24,2016-11-30,816,862
30,2016-12-01,2016-12-07,1054,1058
31,2016-12-08,2016-12-14,1078,1114
32,2016-12-15,2016-12-21,952,1154
33,2016-12-22,2016-12-28,708,856
34,2016-12-29,2017-01-04,841,790
35,2017-01-05,2017-01-11,1104,1079
36,2017-01-12,2017-01-18,1166,1005
37,2017-01-19,2017-01-25,1215,1142
38,2017-01-26,2017-02-01,1171,1133
39,2017-02-02,2017-02-08,1079,1126
40,2017-02-09,2017-02-15,990,896
41,2017-02-16,2017-02-22,1068,1084
42,2017-02-23,2017-03-01,1027,1110
43,2017-03-02,2017-03-08,1203,1249
44,2017-03-09,2017-03-15,940,998
45,2017-03-16,2017-03-22,1047,1083
46,2017-03-23,2017-03-29,1218,1166
47,2017-03-30,2017-04-05,1111,1141
48,2017-04-06,2017-04-12,1131,1213
49,2017-04-13,2017-04-19,1103,1147
50,2017-04-20,2017-04-26,1123,1048
51,2017-04-27,2017-05-03,1090,1040
52,2017-05-04,2017-05-10,1090,1131
53,2017-05-11,2017-05-17,1161,1149
54,2017-05-18,2017-05-24,1068,1122
55,2017-05-25,2017-05-31,1023,956
56,2017-06-01,2017-06-07,1103,1166
57,2017-06-08,2017-06-14,1152,1121
58,2017-06-15,2017-06-21,1098,1091
59,2017-06-22,2017-06-28,1135,1095
60,2017-06-29,2017-07-05,960,991
61,2017-07-06,2017-07-12,1015,1110
62,2017-07-13,2017-07-19,1107,998
63,2017-07-20,2017-07-26,1108,1089
64,2017-07-27,2017-08-02,1056,1065
65,2017-08-03,2017-08-09,1112,1088
66,2017-08-10,2017-08-16,1058,1063
67,2017-08-17,2017-08-23,984,976
68,2017-08-24,2017-08-30,937,938
69,2017-08-31,2017-09-06,935,859
70,2017-09-07,2017-09-13,1112,989
71,2017-09-14,2017-09-20,1064,1074
72,2017-09-21,2017-09-27,944,1071
73,2017-09-28,2017-10-04,1019,1075
74,2017-10-05,2017-10-11,1052,939
75,2017-10-12,2017-10-18,961,1051
76,2017-10-19,2017-10-25,1064,953
77,2017-10-26,2017-11-01,1000,1048
78,2017-11-02,2017-11-08,1002,923
79,2017-11-09,2017-11-15,1025,1008
80,2017-11-16,2017-11-22,933,1080
81,2017-11-23,2017-11-29,790,768
82,2017-11-30,2017-12-06,1016,980
83,2017-12-07,2017-12-13,973,971
84,2017-12-14,2017-12-20,863,1006
85,2017-12-21,2017-12-27,652,805
86,2017-12-28,2018-01-03,640,690
87,2018-01-04,2018-01-10,857,728
88,2018-01-11,2018-01-17,998,834
89,2018-01-18,2018-01-24,1036,1005
90,2018-01-25,2018-01-31,1058,999
91,2018-02-01,2018-02-07,892,876
92,2018-02-08,2018-02-14,903,928
93,2018-02-15,2018-02-21,834,833
94,2018-02-22,2018-02-28,908,918
95,2018-03-01,2018-03-07,820,828
96,2018-03-08,2018-03-14,844,915
97,2018-03-15,2018-03-21,837,888
98,2018-03-22,2018-03-28,826,923
99,2018-03-29,2018-04-04,809,891
100,2018-04-05,2018-04-11,911,897
101,2018-04-12,2018-04-18,872,910
102,2018-04-19,2018-04-25,900,836
103,2018-04-26,2018-05-02,906,929
104,2018-05-03,2018-05-09,881,965
105,2018-05-10,2018-05-16,874,916
106,2018-05-17,2018-05-23,870,892
107,2018-05-24,2018-05-30,770,797
108,2018-05-31,2018-06-06,867,910
109,2018-06-07,2018-06-13,856,829
110,2018-06-14,2018-06-20,881,899
111,2018-06-21,2018-06-27,867,902
112,2018-06-28,2018-07-04,751,760
113,2018-07-05,2018-07-11,812,825
114,2018-07-12,2018-07-18,874,805
115,2018-07-19,2018-07-25,816,832
116,2018-07-26,2018-08-01,796,842
117,2018-08-02,2018-08-08,835,835
118,2018-08-09,2018-08-15,835,788
119,2018-08-16,2018-08-22,805,863
120,2018-08-23,2018-08-29,801,741
121,2018-08-30,2018-09-05,698,634
122,2018-09-06,2018-09-12,808,730
123,2018-09-13,2018-09-19,845,831
124,2018-09-20,2018-09-26,755,778
125,2018-09-27,2018-10-03,778,773
126,2018-10-04,2018-10-10,747,719
127,2018-10-11,2018-10-17,845,828
128,2018-10-18,2018-10-24,815,833
129,2018-10-25,2018-10-31,756,830
130,2018-11-01,2018-11-07,755,711
131,2018-11-08,2018-11-14,794,727
132,2018-11-15,2018-11-21,747,848
133,2018-11-22,2018-11-28,617,606
134,2018-11-29,2018-12-05,749,764
135,2018-12-06,2018-12-12,806,812
136,2018-12-13,2018-12-19,708,792
137,2018-12-20,2018-12-26,476,697
138,2018-12-27,2019-01-02,540,539
139,2019-01-03,2019-01-09,867,665
140,2019-01-10,2019-01-16,800,713
141,2019-01-17,2019-01-23,759,659
142,2019-01-24,2019-01-30,857,794
143,2019-01-31,2019-02-06,745,785
144,2019-02-07,2019-02-13,797,788
145,2019-02-14,2019-02-20,832,817
146,2019-02-21,2019-02-27,710,828
147,2019-02-28,2019-03-06,742,817
148,2019-03-07,2019-03-13,797,747
149,2019-03-14,2019-03-20,658,808
150,2019-03-21,2019-03-27,691,714
151,2019-03-28,2019-04-03,772,831
152,2019-04-04,2019-04-10,792,813
153,2019-04-11,2019-04-17,742,704
154,2019-04-18,2019-04-24,676,700
155,2019-04-25,2019-05-01,679,740
156,2019-05-02,2019-05-08,778,763
157,2019-05-09,2019-05-15,737,778
158,2019-05-16,2019-05-22,666,726
159,2019-05-23,2019-05-29,626,612
160,2019-05-30,2019-06-05,710,755
161,2019-06-06,2019-06-12,717,749
162,2019-06-13,2019-06-19,707,643
163,2019-06-20,2019-06-26,656,624
164,2019-06-27,2019-07-03,601,757
165,2019-07-04,2019-07-10,674,563
166,2019-07-11,2019-07-17,737,757
167,2019-07-18,2019-07-24,653,699
168,2019-07-25,2019-07-31,758,724
169,2019-08-01,2019-08-07,687,782
170,2019-08-08,2019-08-14,629,699
171,2019-08-15,2019-08-21,622,670
172,2019-08-22,2019-08-28,601,624
173,2019-08-29,2019-09-04,511,492
174,2019-09-05,2019-09-11,682,619
175,2019-09-12,2019-09-18,679,613
176,2019-09-19,2019-09-25,687,664
177,2019-09-26,2019-10-02,607,591
178,2019-10-03,2019-10-09,635,628
179,2019-10-10,2019-10-16,576,600
180,2019-10-17,2019-10-23,595,590
181,2019-10-24,2019-10-30,663,696
182,2019-10-31,2019-11-06,533,618
183,2019-11-07,2019-11-13,555,593
184,2019-11-14,2019-11-20,571,646
185,2019-11-21,2019-11-27,519,656
186,2019-11-28,2019-12-04,395,391
187,2019-12-05,2019-12-11,487,661
188,2019-12-12,2019-12-18,431,689
189,2019-12-19,2019-12-25,272,562
190,2019-12-26,2020-01-01,239,454
191,2020-01-02,2020-01-08,441,458
192,2020-01-09,2020-01-15,470,529
193,2020-01-16,2020-01-22,427,468
194,2020-01-23,2020-01-29,472,507
195,2020-01-30,2020-02-05,450,519
196,2020-02-06,2020-02-12,439,488
197,2020-02-13,2020-02-19,446,398
198,2020-02-20,2020-02-26,466,474
199,2020-02-27,2020-03-04,463,467
200,2020-03-05,2020-03-11,461,438
201,2020-03-12,2020-03-18,373,401
202,2020-03-19,2020-03-25,167,439
203,2020-03-26,2020-04-01,142,742
204,2020-04-02,2020-04-08,116,363
205,2020-04-09,2020-04-15,115,355
206,2020-04-16,2020-04-22,124,232
207,2020-04-23,2020-04-29,191,233
208,2020-04-30,2020-05-06,273,200
209,2020-05-07,2020-05-13,232,234
210,2020-05-14,2020-05-20,269,218
211,2020-05-21,2020-05-27,261,205
212,2020-05-28,2020-06-03,234,243
213,2020-06-04,2020-06-10,217,244
214,2020-06-11,2020-06-17,196,210
215,2020-06-18,2020-06-24,179,167
216,2020-06-25,2020-07-01,189,197
217,2020-07-02,2020-07-08,182,184
218,2020-07-09,2020-07-15,220,210
219,2020-07-16,2020-07-22,243,225
220,2020-07-23,2020-07-29,218,202
221,2020-07-30,2020-08-05,218,174
222,2020-08-06,2020-08-12,255,223
223,2020-08-13,2020-08-19,296,208
224,2020-08-20,2020-08-26,284,273
225,2020-08-27,2020-09-02,290,254
226,2020-09-03,2020-09-09,437,298
227,2020-09-10,2020-09-16,354,372
228,2020-09-17,2020-09-23,366,315
229,2020-09-24,2020-09-30,331,268
230,2020-10-01,2020-10-07,344,307
231,2020-10-08,2020-10-14,362,269
232,2020-10-15,2020-10-21,366,299
233,2020-10-22,2020-10-28,354,284
234,2020-10-29,2020-11-04,299,272
235,2020-11-05,2020-11-11,280,243
236,2020-11-12,2020-11-18,313,282
237,2020-11-19,2020-11-25,344,300
238,2020-11-26,2020-12-02,282,248
239,2020-12-03,2020-12-09,334,264
240,2020-12-10,2020-12-16,325,268
241,2020-12-17,2020-12-23,239,265
242,2020-12-24,2020-12-30,209,135
243,2020-12-31,2021-01-06,284,194
244,2021-01-07,2021-01-13,318,218
245,2021-01-14,2021-01-20,298,241
246,2021-01-21,2021-01-27,340,256
247,2021-01-28,2021-02-03,247,210
248,2021-02-04,2021-02-10,340,275
249,2021-02-11,2021-02-17,287,215
250,2021-02-18,2021-02-24,325,251
251,2021-02-25,2021-03-03,337,285
252,2021-03-04,2021-03-10,367,292
253,2021-03-11,2021-03-17,349,278
254,2021-03-18,2021-03-24,350,281
255,2021-03-25,2021-03-31,276,279
256,2021-04-01,2021-04-07,287,309
257,2021-04-08,2021-04-14,314,299
258,2021-04-15,2021-04-21,287,304
259,2021-04-22,2021-04-28,282,271
260,2021-04-29,2021-05-05,297,332
261,2021-05-06,2021-05-12,291,300
262,2021-05-13,2021-05-19,320,325
263,2021-05-20,2021-05-26,378,299
264,2021-05-27,2021-06-02,304,284
265,2021-06-03,2021-06-09,366,324
266,2021-06-10,2021-06-16,348,323
267,2021-06-17,2021-06-23,397,314
268,2021-06-24,2021-06-30,320,345
269,2021-07-01,2021-07-07,375,326
270,2021-07-08,2021-07-14,310,325
271,2021-07-15,2021-07-21,365,292
272,2021-07-22,2021-07-28,366,350
273,2021-07-29,2021-08-04,334,344
274,2021-08-05,2021-08-11,372,331
275,2021-08-12,2021-08-18,340,288
276,2021-08-19,2021-08-25,328,308
277,2021-08-26,2021-09-01,321,286
278,2021-09-02,2021-09-08,295,285
279,2021-09-09,2021-09-15,371,317
280,2021-09-16,2021-09-22,319,562
281,2021-09-23,2021-09-29,267,441
282,2021-09-30,2021-10-06,299,358
283,2021-10-07,2021-10-13,305,280
284,2021-10-14,2021-10-20,329,348
285,2021-10-21,2021-10-27,291,335
286,2021-10-28,2021-11-03,265,295
287,2021-11-04,2021-11-10,323,346
288,2021-11-11,2021-11-17,290,273
289,2021-11-18,2021-11-24,316,353
290,2021-11-25,2021-12-01,212,264
291,2021-12-02,2021-12-08,370,288
292,2021-12-09,2021-12-15,310,318
293,2021-12-16,2021-12-22,316,327
294,2021-12-23,2021-12-29,188,232
295,2021-12-30,2022-01-05,226,166
296,2022-01-06,2022-01-12,270,227
297,2022-01-13,2022-01-19,329,224
298,2022-01-20,2022-01-26,387,356
299,2022-01-27,2022-02-02,301,326
