,Start Date,End Date,ADP
0,2016-05-27,2016-06-02,9836.0
1,2016-06-03,2016-06-09,9827.0
2,2016-06-10,2016-06-16,9800.0
3,2016-06-17,2016-06-23,9796.0
4,2016-06-24,2016-06-30,9817.0
5,2016-07-01,2016-07-07,9808.0
6,2016-07-08,2016-07-14,9752.0
7,2016-07-15,2016-07-21,9705.0
8,2016-07-22,2016-07-28,9715.0
9,2016-07-29,2016-08-04,9737.0
10,2016-08-05,2016-08-11,9764.0
11,2016-08-12,2016-08-18,9781.0
12,2016-08-19,2016-08-25,9781.0
13,2016-08-26,2016-09-01,9865.0
14,2016-09-02,2016-09-08,9849.0
15,2016-09-09,2016-09-15,9877.0
16,2016-09-16,2016-09-22,9898.0
17,2016-09-23,2016-09-29,9867.0
18,2016-09-30,2016-10-06,9784.0
19,2016-10-07,2016-10-13,9783.0
20,2016-10-14,2016-10-20,9832.0
21,2016-10-21,2016-10-27,9834.0
22,2016-10-28,2016-11-03,9809.0
23,2016-11-04,2016-11-10,9824.0
24,2016-11-11,2016-11-17,9815.0
25,2016-11-18,2016-11-24,9755.0
26,2016-11-25,2016-12-01,9615.0
27,2016-12-02,2016-12-08,9611.0
28,2016-12-09,2016-12-15,9588.0
29,2016-12-16,2016-12-22,9434.0
30,2016-12-23,2016-12-29,9201.0
31,2016-12-30,2017-01-05,9201.0
32,2017-01-06,2017-01-12,9282.0
33,2017-01-13,2017-01-19,9394.0
34,2017-01-20,2017-01-26,9520.0
35,2017-01-27,2017-02-02,9566.0
36,2017-02-03,2017-02-09,9500.0
37,2017-02-10,2017-02-16,9534.0
38,2017-02-17,2017-02-23,9571.0
39,2017-02-24,2017-03-02,9482.0
40,2017-03-03,2017-03-09,9440.0
41,2017-03-10,2017-03-16,9450.0
42,2017-03-17,2017-03-23,9324.0
43,2017-03-24,2017-03-30,9382.0
44,2017-03-31,2017-04-06,9361.0
45,2017-04-07,2017-04-13,9345.0
46,2017-04-14,2017-04-20,9220.0
47,2017-04-21,2017-04-27,9272.0
48,2017-04-28,2017-05-04,9344.0
49,2017-05-05,2017-05-11,9348.0
50,2017-05-12,2017-05-18,9302.0
51,2017-05-19,2017-05-25,9282.0
52,2017-05-26,2017-06-01,9258.0
53,2017-06-02,2017-06-08,9270.0
54,2017-06-09,2017-06-15,9242.0
55,2017-06-16,2017-06-22,9238.0
56,2017-06-23,2017-06-29,9260.0
57,2017-06-30,2017-07-06,9222.0
58,2017-07-07,2017-07-13,9178.0
59,2017-07-14,2017-07-20,9193.0
60,2017-07-21,2017-07-27,9247.0
61,2017-07-28,2017-08-03,9226.0
62,2017-08-04,2017-08-10,9221.0
63,2017-08-11,2017-08-17,9248.0
64,2017-08-18,2017-08-24,9211.0
65,2017-08-25,2017-08-31,9190.0
66,2017-09-01,2017-09-07,9226.0
67,2017-09-08,2017-09-14,9360.0
68,2017-09-15,2017-09-21,9390.0
69,2017-09-22,2017-09-28,9283.0
70,2017-09-29,2017-10-05,9186.0
71,2017-10-06,2017-10-12,9238.0
72,2017-10-13,2017-10-19,9247.0
73,2017-10-20,2017-10-26,9254.0
74,2017-10-27,2017-11-02,9270.0
75,2017-11-03,2017-11-09,9232.0
76,2017-11-10,2017-11-16,9266.0
77,2017-11-17,2017-11-23,9236.0
78,2017-11-24,2017-11-30,9156.0
79,2017-12-01,2017-12-07,9161.0
80,2017-12-08,2017-12-14,9176.0
81,2017-12-15,2017-12-21,9050.0
82,2017-12-22,2017-12-28,8872.0
83,2017-12-29,2018-01-04,8793.0
84,2018-01-05,2018-01-11,8862.0
85,2018-01-12,2018-01-18,9016.0
86,2018-01-19,2018-01-25,9083.0
87,2018-01-26,2018-02-01,9138.0
