,Start Date,End Date,End Date,total_felony_arrest,violent_felony_arrest,total_misdemeanor_arrest,arrest_murder_homicide_count,arrest_robbery_count,arrest_assault_count,arrest_burglary_count,arrest_rape_count,arrest_grand_larceny_count,arrest_grand_larceny_vehicle_count
0,2016-05-15,2016-05-21,2016-05-21,2000,563,4430,14,226,311,123,12,239,24
1,2016-05-22,2016-05-28,2016-05-28,1819,561,4215,16,204,329,94,12,187,13
2,2016-05-29,2016-06-04,2016-06-04,1888,560,3996,10,213,312,79,25,195,26
3,2016-06-05,2016-06-11,2016-06-11,1814,533,4085,20,179,319,91,15,190,17
4,2016-06-12,2016-06-18,2016-06-18,1760,552,4127,20,212,301,65,19,170,27
5,2016-06-19,2016-06-25,2016-06-25,1701,474,3959,22,159,278,67,15,164,17
6,2016-06-26,2016-07-02,2016-07-02,1852,578,3852,20,178,365,81,15,194,39
7,2016-07-03,2016-07-09,2016-07-09,1711,516,3685,24,170,303,76,19,217,21
8,2016-07-10,2016-07-16,2016-07-16,1752,584,3554,14,200,357,88,13,227,17
9,2016-07-17,2016-07-23,2016-07-23,1805,565,3472,15,209,327,75,14,181,20
10,2016-07-24,2016-07-30,2016-07-30,1814,580,3576,14,190,355,111,21,159,24
11,2016-07-31,2016-08-06,2016-08-06,1870,553,3819,50,198,290,85,15,187,15
12,2016-08-07,2016-08-13,2016-08-13,1813,593,3898,25,208,338,90,22,206,21
13,2016-08-14,2016-08-20,2016-08-20,1823,539,3986,11,161,349,56,18,215,29
14,2016-08-21,2016-08-27,2016-08-27,1962,632,4146,21,253,338,129,20,204,28
15,2016-08-28,2016-09-03,2016-09-03,1895,505,3843,17,178,297,123,13,182,20
16,2016-09-04,2016-09-10,2016-09-10,1791,551,3765,21,201,312,93,17,175,24
17,2016-09-11,2016-09-17,2016-09-17,1747,474,4117,16,166,282,93,10,188,18
18,2016-09-18,2016-09-24,2016-09-24,1745,529,3618,19,228,265,90,17,179,41
19,2016-09-25,2016-10-01,2016-10-01,1669,503,3723,15,208,269,111,11,160,24
20,2016-10-02,2016-10-08,2016-10-08,1943,531,4204,21,228,265,113,17,175,18
21,2016-10-09,2016-10-15,2016-10-15,1858,467,4139,20,189,247,81,11,227,27
22,2016-10-16,2016-10-22,2016-10-22,1917,585,4310,15,204,347,66,19,197,21
23,2016-10-23,2016-10-29,2016-10-29,1804,493,3956,15,187,271,89,20,207,17
24,2016-10-30,2016-11-05,2016-11-05,1870,545,3979,21,209,306,80,9,193,26
25,2016-11-06,2016-11-12,2016-11-12,1467,424,3249,16,178,226,72,4,161,20
26,2016-11-13,2016-11-19,2016-11-19,1722,502,4010,36,183,272,59,11,173,31
27,2016-11-20,2016-11-26,2016-11-26,1324,366,3249,11,137,209,62,9,155,21
28,2016-11-27,2016-12-03,2016-12-03,1748,486,3682,13,170,295,84,8,202,31
29,2016-12-04,2016-12-10,2016-12-10,1828,517,3955,19,205,284,106,9,206,18
30,2016-12-11,2016-12-17,2016-12-17,1735,475,3505,15,189,262,80,9,210,16
31,2016-12-18,2016-12-24,2016-12-24,1678,450,3171,12,168,261,82,9,182,10
32,2016-12-25,2016-12-31,2016-12-31,1253,404,2903,16,155,217,66,16,110,12
33,2017-01-01,2017-01-07,2017-01-07,1746,567,3565,15,207,334,48,11,184,13
34,2017-01-08,2017-01-14,2017-01-14,1777,485,3947,12,181,282,102,10,166,29
35,2017-01-15,2017-01-21,2017-01-21,1807,489,4132,15,199,264,97,11,162,30
36,2017-01-22,2017-01-28,2017-01-28,1791,533,4143,28,190,302,84,13,163,32
37,2017-01-29,2017-02-04,2017-02-04,1880,553,3891,18,213,317,81,5,191,30
38,2017-02-05,2017-02-11,2017-02-11,1720,497,3754,13,193,280,102,11,180,11
39,2017-02-12,2017-02-18,2017-02-18,1815,503,3993,17,216,262,89,8,225,18
40,2017-02-19,2017-02-25,2017-02-25,1576,449,3675,10,165,256,82,18,161,15
41,2017-02-26,2017-03-04,2017-03-04,1701,479,4045,16,170,283,79,10,160,26
42,2017-03-05,2017-03-11,2017-03-11,1983,492,4398,15,169,298,89,10,251,18
43,2017-03-12,2017-03-18,2017-03-18,1343,413,3154,8,140,253,43,12,106,24
44,2017-03-19,2017-03-25,2017-03-25,1825,471,3883,16,148,297,64,10,183,19
45,2017-03-26,2017-04-01,2017-04-01,1607,451,3649,9,156,278,79,8,194,22
46,2017-04-02,2017-04-08,2017-04-08,1858,508,4055,13,199,284,101,12,225,66
47,2017-04-09,2017-04-15,2017-04-15,1754,482,4006,19,143,307,79,13,165,22
48,2017-04-16,2017-04-22,2017-04-22,1754,511,3916,21,181,297,62,12,206,15
49,2017-04-23,2017-04-29,2017-04-29,1683,490,3679,17,165,295,80,13,187,29
50,2017-04-30,2017-05-06,2017-05-06,1849,572,3961,18,206,330,83,18,205,25
51,2017-05-07,2017-05-13,2017-05-13,1772,543,3841,16,231,281,74,15,182,18
52,2017-05-14,2017-05-20,2017-05-20,1786,546,3690,31,189,314,85,12,164,15
53,2017-05-21,2017-05-27,2017-05-27,1735,557,3487,13,166,369,74,9,236,24
54,2017-05-28,2017-06-03,2017-06-03,1655,502,3494,18,185,285,62,14,199,20
55,2017-06-04,2017-06-10,2017-06-10,1788,559,3577,19,225,295,88,20,184,21
56,2017-06-11,2017-06-17,2017-06-17,1704,540,3623,11,207,310,79,12,142,25
57,2017-06-18,2017-06-24,2017-06-24,1694,567,3540,18,214,326,92,9,159,37
58,2017-06-25,2017-07-01,2017-07-01,1601,513,3449,31,167,303,84,12,161,12
59,2017-07-02,2017-07-08,2017-07-08,1634,533,3351,14,165,337,73,17,142,16
60,2017-07-09,2017-07-15,2017-07-15,1727,508,3335,24,161,314,98,9,194,38
61,2017-07-16,2017-07-22,2017-07-22,1755,536,3682,18,190,315,74,13,199,23
62,2017-07-23,2017-07-29,2017-07-29,1797,548,3661,15,226,297,83,10,197,29
63,2017-07-30,2017-08-05,2017-08-05,1817,479,3656,11,175,282,102,11,208,38
64,2017-08-06,2017-08-12,2017-08-12,1843,535,3760,24,201,298,88,12,202,30
65,2017-08-13,2017-08-19,2017-08-19,1742,495,3387,15,176,289,92,15,205,29
66,2017-08-20,2017-08-26,2017-08-26,1563,531,3373,30,200,286,71,15,160,25
67,2017-08-27,2017-09-02,2017-09-02,1646,496,3399,17,187,279,86,13,192,22
68,2017-09-03,2017-09-09,2017-09-09,1717,498,3387,13,185,286,87,14,177,24
69,2017-09-10,2017-09-16,2017-09-16,1756,519,3573,34,166,311,118,8,159,31
70,2017-09-17,2017-09-23,2017-09-23,1531,462,3314,19,165,257,80,21,149,37
71,2017-09-24,2017-09-30,2017-09-30,1647,488,3456,21,183,269,88,15,169,25
72,2017-10-01,2017-10-07,2017-10-07,1885,550,3767,19,219,293,105,19,208,25
73,2017-10-08,2017-10-14,2017-10-14,1897,601,3748,16,191,370,78,24,202,18
74,2017-10-15,2017-10-21,2017-10-21,1855,517,3762,13,197,291,114,16,228,24
75,2017-10-22,2017-10-28,2017-10-28,1851,555,3717,37,209,291,92,18,194,33
76,2017-10-29,2017-11-04,2017-11-04,1915,545,3399,38,202,288,95,17,281,29
77,2017-11-05,2017-11-11,2017-11-11,1624,451,3535,18,166,249,85,18,225,10
78,2017-11-12,2017-11-18,2017-11-18,1768,465,3835,18,175,256,88,16,246,30
79,2017-11-19,2017-11-25,2017-11-25,1356,407,3015,23,152,222,67,10,150,11
80,2017-11-26,2017-12-02,2017-12-02,1723,493,3543,17,206,257,86,13,219,36
81,2017-12-03,2017-12-09,2017-12-09,1746,471,3521,12,194,251,68,14,239,24
82,2017-12-10,2017-12-16,2017-12-16,1478,459,3184,22,157,267,81,13,186,13
83,2017-12-17,2017-12-23,2017-12-23,1486,455,3194,16,180,241,76,18,171,14
84,2017-12-24,2017-12-30,2017-12-30,1061,313,2302,7,107,187,36,12,132,15
85,2017-12-31,2018-01-06,2018-01-06,1251,388,2500,11,133,231,52,13,127,19
86,2018-01-07,2018-01-13,2018-01-13,1847,497,3567,13,196,275,65,13,297,11
87,2018-01-14,2018-01-20,2018-01-20,1811,499,3981,17,166,300,71,16,229,31
88,2018-01-21,2018-01-27,2018-01-27,1845,523,4026,19,211,280,87,13,219,16
89,2018-01-28,2018-02-03,2018-02-03,1741,523,3640,30,165,303,107,25,185,20
90,2018-02-04,2018-02-10,2018-02-10,1905,533,3378,17,204,288,122,24,207,23
91,2018-02-11,2018-02-17,2018-02-17,1762,498,3628,18,164,298,76,18,266,13
92,2018-02-18,2018-02-24,2018-02-24,1707,464,3575,7,145,299,86,13,205,19
93,2018-02-25,2018-03-03,2018-03-03,1577,441,3341,9,165,255,111,12,177,17
94,2018-03-04,2018-03-10,2018-03-10,1772,435,3269,11,156,248,69,20,234,15
95,2018-03-11,2018-03-17,2018-03-17,1778,533,3395,19,177,321,88,16,191,20
96,2018-03-18,2018-03-24,2018-03-24,1483,457,3176,13,144,289,48,11,155,18
97,2018-03-25,2018-03-31,2018-03-31,1610,491,3335,15,184,279,72,13,164,14
98,2018-04-01,2018-04-07,2018-04-07,1625,489,3117,5,181,287,79,16,169,15
99,2018-04-08,2018-04-14,2018-04-14,1838,509,3335,11,197,286,101,15,218,18
100,2018-04-15,2018-04-21,2018-04-21,1734,479,3149,17,166,276,88,20,201,14
101,2018-04-22,2018-04-28,2018-04-28,1791,506,3187,17,163,308,74,18,305,19
102,2018-04-29,2018-05-05,2018-05-05,1807,486,3324,24,150,290,75,22,273,11
103,2018-05-06,2018-05-12,2018-05-12,1759,519,3271,15,158,325,76,21,189,20
104,2018-05-13,2018-05-19,2018-05-19,1562,466,2963,6,176,271,81,13,182,22
105,2018-05-20,2018-05-26,2018-05-26,1809,562,2973,14,183,346,114,19,186,16
106,2018-05-27,2018-06-02,2018-06-02,1614,513,2787,16,203,282,98,12,198,14
107,2018-06-03,2018-06-09,2018-06-09,1713,556,2902,17,206,323,99,10,175,14
108,2018-06-10,2018-06-16,2018-06-16,1572,507,2808,19,158,314,77,16,171,16
109,2018-06-17,2018-06-23,2018-06-23,1708,574,2973,22,179,356,66,17,187,35
110,2018-06-24,2018-06-30,2018-06-30,1599,471,2528,24,159,274,103,14,217,19
111,2018-07-01,2018-07-07,2018-07-07,1595,493,2775,17,162,302,72,12,162,33
112,2018-07-08,2018-07-14,2018-07-14,1634,499,3025,30,184,265,77,20,199,20
113,2018-07-15,2018-07-21,2018-07-21,1782,541,3028,19,209,302,112,11,174,20
114,2018-07-22,2018-07-28,2018-07-28,1627,514,3067,11,174,311,91,18,211,19
115,2018-07-29,2018-08-04,2018-08-04,1846,566,2938,21,204,327,121,14,217,45
116,2018-08-05,2018-08-11,2018-08-11,1778,614,2975,19,220,361,85,14,178,25
117,2018-08-12,2018-08-18,2018-08-18,1754,520,2921,18,177,309,112,16,176,24
118,2018-08-19,2018-08-25,2018-08-25,1771,533,2920,17,176,318,106,22,231,25
119,2018-08-26,2018-09-01,2018-09-01,1608,525,2849,18,183,308,84,16,175,15
120,2018-09-02,2018-09-08,2018-09-08,1623,508,2751,24,162,304,105,18,159,21
