,Start Date,End Date,End Date,total_felony_crimes,violent_felony_crimes,total_misdemeanor_crimes,murder_homicide_count,robbery_count,assault_count,burglary_count,rape_count,grand_larceny_count,grand_larceny_vehicle_count
0,2016-05-15,2016-05-21,2016-05-21,2915,776,5407,7,326,420,251,23,847,118
1,2016-05-22,2016-05-28,2016-05-28,2854,751,5388,5,274,454,246,18,841,150
2,2016-05-29,2016-06-04,2016-06-04,3133,830,5582,8,294,469,232,59,925,147
3,2016-06-05,2016-06-11,2016-06-11,2801,739,5291,7,297,405,263,30,801,135
4,2016-06-12,2016-06-18,2016-06-18,2945,742,5420,10,285,423,237,24,906,135
5,2016-06-19,2016-06-25,2016-06-25,2963,774,5305,7,310,425,263,32,854,126
6,2016-06-26,2016-07-02,2016-07-02,3202,863,5318,8,306,506,272,43,968,137
7,2016-07-03,2016-07-09,2016-07-09,2827,813,5116,8,310,460,209,35,812,116
8,2016-07-10,2016-07-16,2016-07-16,2995,785,5030,6,285,466,266,28,939,154
9,2016-07-17,2016-07-23,2016-07-23,3123,918,5151,14,350,521,282,33,890,138
10,2016-07-24,2016-07-30,2016-07-30,3054,865,5051,9,320,506,280,30,850,139
11,2016-07-31,2016-08-06,2016-08-06,3020,779,5288,10,303,425,221,41,911,154
12,2016-08-07,2016-08-13,2016-08-13,3001,844,5230,11,317,481,271,35,855,148
13,2016-08-14,2016-08-20,2016-08-20,3159,827,5377,9,318,467,277,33,902,141
14,2016-08-21,2016-08-27,2016-08-27,3118,843,5242,2,348,470,258,23,885,172
15,2016-08-28,2016-09-03,2016-09-03,3211,802,5203,15,299,455,286,33,966,152
16,2016-09-04,2016-09-10,2016-09-10,3023,807,5009,9,308,465,230,25,857,152
17,2016-09-11,2016-09-17,2016-09-17,2867,725,5147,2,287,413,253,23,852,118
18,2016-09-18,2016-09-24,2016-09-24,2809,802,5006,6,354,416,238,26,797,140
19,2016-09-25,2016-10-01,2016-10-01,2879,722,5022,13,306,364,248,39,882,132
20,2016-10-02,2016-10-08,2016-10-08,2951,690,4956,11,295,361,274,23,849,128
21,2016-10-09,2016-10-15,2016-10-15,2927,703,4803,4,300,374,248,25,895,120
22,2016-10-16,2016-10-22,2016-10-22,3071,795,5406,3,322,438,259,32,914,144
23,2016-10-23,2016-10-29,2016-10-29,2923,713,4750,2,292,396,265,23,927,136
24,2016-10-30,2016-11-05,2016-11-05,3257,813,5279,7,338,438,253,30,1056,141
25,2016-11-06,2016-11-12,2016-11-12,2655,668,4552,4,293,352,228,19,803,127
26,2016-11-13,2016-11-19,2016-11-19,2865,695,4787,1,286,381,250,27,939,123
27,2016-11-20,2016-11-26,2016-11-26,2635,659,4442,8,275,361,281,15,834,127
28,2016-11-27,2016-12-03,2016-12-03,2960,710,4954,10,335,335,242,30,996,115
29,2016-12-04,2016-12-10,2016-12-10,2807,707,4687,4,327,361,251,15,908,115
30,2016-12-11,2016-12-17,2016-12-17,2808,699,4449,8,293,371,273,27,913,83
31,2016-12-18,2016-12-24,2016-12-24,2796,659,4643,5,294,332,293,28,884,91
32,2016-12-25,2016-12-31,2016-12-31,2577,711,4293,6,314,367,226,24,802,80
33,2017-01-01,2017-01-07,2017-01-07,2928,787,5251,9,301,423,220,54,884,91
