,snapshot_date,Total Population
0,2016-06-02,9836
1,2016-06-03,9780
2,2016-06-04,9765
3,2016-06-05,9894
4,2016-06-06,9904
5,2016-06-07,9826
6,2016-06-08,9817
7,2016-06-09,9802
8,2016-06-10,9745
9,2016-06-11,9737
10,2016-06-12,9847
11,2016-06-13,9885
12,2016-06-14,9833
13,2016-06-15,9790
14,2016-06-16,9765
15,2016-06-17,9736
16,2016-06-18,9751
17,2016-06-19,9847
18,2016-06-20,9864
19,2016-06-21,9792
20,2016-06-22,9785
21,2016-06-23,9798
22,2016-06-24,9750
23,2016-06-25,9777
24,2016-06-26,9871
25,2016-06-27,9917
26,2016-06-28,9829
27,2016-06-29,9783
28,2016-06-30,9792
29,2016-07-01,9747
30,2016-07-02,9744
31,2016-07-03,9814
32,2016-07-04,9893
33,2016-07-05,9889
34,2016-07-06,9811
35,2016-07-07,9757
36,2016-07-08,9714
37,2016-07-09,9730
38,2016-07-10,9823
39,2016-07-11,9847
40,2016-07-12,9750
41,2016-07-13,9691
42,2016-07-14,9709
43,2016-07-15,9662
44,2016-07-16,9648
45,2016-07-17,9756
46,2016-07-18,9761
47,2016-07-19,9704
48,2016-07-20,9696
49,2016-07-21,9709
50,2016-07-22,9671
51,2016-07-23,9667
52,2016-07-24,9768
53,2016-07-25,9779
54,2016-07-26,9719
55,2016-07-27,9693
56,2016-07-28,9706
57,2016-07-29,9680
58,2016-07-30,9698
59,2016-07-31,9806
60,2016-08-01,9809
61,2016-08-02,9739
62,2016-08-03,9715
63,2016-08-04,9713
64,2016-08-05,9720
65,2016-08-06,9713
66,2016-08-07,9806
67,2016-08-08,9832
68,2016-08-09,9763
69,2016-08-10,9761
70,2016-08-11,9752
71,2016-08-12,9751
72,2016-08-13,9757
73,2016-08-14,9856
74,2016-08-15,9862
75,2016-08-16,9772
76,2016-08-17,9729
77,2016-08-18,9739
78,2016-08-19,9729
79,2016-08-20,9775
80,2016-08-21,9867
81,2016-08-22,9838
82,2016-08-23,9784
83,2016-08-24,9720
84,2016-08-25,9756
85,2016-08-26,9759
86,2016-08-27,9798
87,2016-08-28,9945
88,2016-08-29,9957
89,2016-08-30,9915
90,2016-08-31,9855
91,2016-09-01,9826
92,2016-09-02,9770
93,2016-09-03,9732
94,2016-09-04,9837
95,2016-09-05,9936
96,2016-09-06,9940
97,2016-09-07,9880
98,2016-09-08,9848
99,2016-09-09,9797
100,2016-09-10,9821
101,2016-09-11,9924
102,2016-09-12,9948
103,2016-09-13,9880
104,2016-09-14,9883
105,2016-09-15,9886
106,2016-09-16,9851
107,2016-09-17,9891
108,2016-09-18,9963
109,2016-09-19,10001
110,2016-09-20,9911
