,year,month,JailPop_Change,BailNotPosted_ArrRel,BailPosted_ArrRel,NonMonetaryCondit_ArrRel,Other_ArrRel,ROR_ArrRel,Remand_ArrRel,Total_Arraignments,Felony_ArrChg,Infraction_ArrChg,Misdemeanor_ArrChg,Other_ArrChg,Violation_ArrChg,Felony_Crimes,Misdemeanor_Crimes,Violation_Crimes,Total_Crimes,Staff_Assaults,Inmate_Slashing,Inmate_Stabbing,Total_Inmate_Incidents
0,2018,1,351,2684,369,426,5921,10866,125,20391,3406,155,16328,65,437,11301,20920,5451,37672,269.0,11.0,2.0,13.0
1,2018,2,-46,2290,334,413,4773,10244,116,18170,3141,141,14384,64,440,10174,19206,5194,34574,263.0,4.0,0.0,4.0
2,2018,3,-312,2332,392,461,5037,11058,97,19377,3276,157,15493,64,388,11119,20643,5607,37369,235.0,6.0,1.0,7.0
3,2018,4,23,2291,413,465,4608,10184,95,18056,3162,149,14286,60,399,10894,20872,5699,37465,179.0,8.0,0.0,8.0
4,2018,5,-239,2487,419,493,4579,10571,101,18650,3454,160,14517,59,459,12378,22153,6625,41156,224.0,5.0,0.0,5.0
5,2018,6,-93,2258,454,386,3999,9547,112,16756,3188,147,12988,43,390,12196,21464,6223,39883,194.0,5.0,0.0,5.0
6,2018,7,-62,2286,387,417,4080,9961,99,17230,3245,142,13384,35,424,12693,22665,6420,41778,211.0,2.0,0.0,2.0
7,2018,8,-22,2510,381,469,3847,10064,111,17382,3389,148,13347,59,439,12794,22353,6302,41449,203.0,11.0,0.0,11.0
8,2018,9,180,2065,278,402,3110,8918,89,14862,2937,113,11450,57,305,11964,20895,6284,39143,230.0,5.0,1.0,6.0
9,2018,10,-58,2244,367,458,3481,9320,106,15976,3074,136,12362,50,354,12176,20787,6180,39143,212.0,8.0,2.0,10.0
10,2018,11,-54,2033,337,401,2825,8457,71,14124,2769,123,10932,39,261,11303,19324,5488,36115,0.0,8.0,1.0,9.0
11,2018,12,-273,1878,289,387,2751,8357,70,13732,2563,104,10794,47,224,11764,19351,5495,36610,0.0,15.0,1.0,16.0
12,2019,1,396,2161,304,358,2961,9583,134,15501,3023,139,11962,105,272,10986,19702,5508,36196,0.0,9.0,1.0,10.0
13,2019,2,-118,1886,257,397,2720,8374,132,13766,2690,118,10598,97,263,9628,17295,5005,31928,0.0,4.0,0.0,4.0
14,2019,3,-150,1992,368,451,3141,9798,135,15885,3076,164,12197,128,319,10880,19769,5834,36483,0.0,6.0,1.0,7.0
15,2019,4,-175,1921,280,384,3212,9189,165,15151,2896,189,11564,125,377,10906,19550,5999,36455,0.0,7.0,0.0,7.0
16,2019,5,-140,2007,293,416,2915,9513,134,15278,2894,157,11736,123,368,12176,21587,6495,40258,0.0,13.0,0.0,13.0
17,2019,6,6,1878,253,483,2791,8402,164,13971,2605,123,10717,137,389,12339,21237,6438,40014,12.0,12.0,0.0,12.0
18,2019,7,-45,1972,215,593,2848,9279,176,15083,2949,147,11545,139,303,13294,22698,6443,42435,39.0,10.0,4.0,15.0
19,2019,8,-306,1852,176,575,2673,8765,164,14205,3027,125,10584,123,346,13094,21614,6334,41042,0.0,6.0,1.0,7.0
20,2019,9,223,1731,187,481,2435,8051,146,13031,2834,110,9558,110,419,12682,21427,6305,40414,0.0,10.0,4.0,14.0
21,2019,10,-64,1689,206,534,2436,8187,143,13195,2821,143,9720,117,394,12750,20943,6218,39911,0.0,5.0,2.0,7.0
22,2019,11,-278,1398,149,467,2136,7485,135,11770,2439,101,8723,106,401,11737,19441,5895,37073,0.0,13.0,2.0,15.0
23,2019,12,-926,891,91,647,1949,6680,134,10392,2134,76,7900,116,166,11569,19336,5914,36819,0.0,8.0,2.0,10.0
24,2020,1,-246,874,70,1097,1885,6671,129,10726,2450,103,7850,128,195,12267,20550,6048,38865,0.0,10.0,0.0,10.0
25,2020,2,-8,949,86,1408,2102,6286,134,10965,2396,126,8133,120,190,11156,18689,5743,35588,0.0,5.0,0.0,5.0
26,2020,3,-818,756,87,778,1375,5394,101,8491,2079,62,6102,87,161,10315,16967,5506,32788,0.0,12.0,1.0,13.0
27,2020,4,-667,518,33,7,210,3426,47,4241,1403,4,2757,25,52,8020,12938,4095,25053,2.0,5.0,2.0,7.0
28,2020,5,198,887,94,13,401,5596,68,7059,2492,18,4436,35,78,10137,17001,5063,32201,0.0,5.0,3.0,8.0
29,2020,6,-77,619,71,4,163,3616,76,4549,1822,7,2657,29,34,10832,16376,5578,32786,0.0,10.0,4.0,14.0
30,2020,7,41,790,100,283,225,2956,94,4448,1567,16,2810,32,23,11410,18063,6239,35712,0.0,7.0,4.0,11.0
31,2020,8,204,1010,90,816,347,3428,105,5796,2070,13,3610,51,52,12695,18720,6313,37728,0.0,6.0,1.0,7.0
32,2020,9,220,1221,169,856,752,4126,133,7257,2451,19,4643,66,78,12451,17804,5913,36168,0.0,6.0,3.0,9.0
33,2020,10,271,1197,150,920,999,5432,114,8812,2601,32,6037,54,88,12636,18911,6030,37577,0.0,10.0,6.0,16.0
34,2020,11,166,988,121,855,858,4609,116,7547,2187,41,5174,58,87,11906,17888,5505,35299,0.0,7.0,5.0,12.0
35,2020,12,166,982,112,1079,784,4591,94,7642,2303,33,5176,42,88,11301,17107,5218,33626,0.0,6.0,3.0,9.0
36,2021,1,378,1130,138,1030,955,5172,113,8538,2462,43,5890,48,95,10846,17165,5268,33279,0.0,9.0,5.0,14.0
37,2021,2,263,966,95,925,864,4427,115,7392,2054,44,5146,53,95,9023,14473,4928,28424,0.0,10.0,9.0,19.0
38,2021,3,192,1148,109,1086,1167,5408,110,9028,2440,50,6361,62,115,10866,18041,5877,34784,0.0,16.0,11.0,27.0
39,2021,4,-51,943,76,849,1085,4359,124,7436,1832,31,5416,67,90,10442,16594,5787,32823,0.0,24.0,16.0,40.0
40,2021,5,96,1073,125,1032,1169,4907,148,8454,2026,60,6211,69,88,11870,18657,6377,36904,0.0,25.0,17.0,42.0
41,2021,6,106,1177,105,1184,1584,5627,140,9817,2314,65,7263,64,111,12245,18895,6594,37734,0.0,19.0,22.0,41.0
42,2021,7,97,1250,144,1341,2316,6542,138,11731,2530,67,8931,83,120,13054,19912,6619,39585,0.0,19.0,9.0,28.0
43,2021,8,165,1286,104,1497,2229,6364,160,11640,2511,76,8844,96,113,12920,19547,6712,39179,0.0,23.0,16.0,39.0
44,2021,9,-389,1020,97,1398,1668,5714,116,10013,2402,60,7377,61,113,13437,19828,6858,40123,0.0,28.0,23.0,51.0
45,2021,10,-90,1004,98,1591,1684,5930,117,10424,2538,45,7650,77,114,14479,21342,7365,43186,0.0,21.0,17.0,38.0
46,2021,11,-111,886,107,1362,1507,5425,150,9437,2214,60,6986,89,88,14858,20141,6518,41517,0.0,22.0,13.0,35.0
47,2021,12,11,1002,81,1383,1538,5117,132,9253,2226,37,6837,65,88,14873,19787,6397,41057,0.0,23.0,23.0,46.0
48,2022,1,233,965,107,1455,1453,5121,133,9234,2322,33,6713,84,82,13069,18896,6252,38217,0.0,30.0,20.0,50.0
49,2022,2,144,1106,84,1458,1486,5273,146,9553,2354,58,6954,92,95,12706,18968,5795,37469,0.0,20.0,12.0,32.0
50,2022,3,-187,1257,109,1866,1999,6392,154,11777,2727,111,8715,95,129,13992,22486,7076,43554,0.0,35.0,31.0,66.0
51,2022,4,-57,1165,111,1937,2093,6451,140,11897,2692,82,8877,103,143,13737,21930,6870,42537,0.0,23.0,20.0,43.0
52,2022,5,80,1262,115,1947,2174,6462,147,12107,2783,67,9040,92,125,15040,23310,7534,45884,0.0,16.0,8.0,24.0
53,2022,6,50,1263,110,1847,1904,6421,150,11695,2706,53,8705,94,137,15496,23773,7706,46975,0.0,19.0,20.0,39.0
54,2022,7,154,1256,145,1818,1874,6174,161,11428,2674,40,8509,97,108,16162,23919,7226,47307,0.0,29.0,14.0,43.0
55,2022,8,10,1323,111,1885,1830,5797,161,11107,2743,33,8106,88,137,15507,23667,7309,46483,0.0,28.0,12.0,40.0
56,2022,9,98,1402,124,1874,1842,5515,166,10923,2765,51,7882,85,140,15201,22572,7082,44855,0.0,18.0,12.0,30.0
57,2022,10,117,1353,139,1948,2105,6001,151,11697,2831,57,8521,99,189,15243,23308,7230,45781,0.0,31.0,15.0,46.0
58,2022,11,-42,1218,105,1774,2325,6028,148,11598,2620,66,8651,86,175,14105,22152,6922,43179,0.0,23.0,10.0,33.0
59,2022,12,-196,1160,98,1779,2113,5710,148,11008,2540,59,8157,107,145,12842,19895,6126,38863,0.0,19.0,13.0,32.0
60,2023,1,253,38,3,37,32,163,6,279,76,1,194,5,3,14376,22609,6734,43719,0.0,31.0,10.0,41.0
