,year,month,A_Felony_Arr,A_Misdemeanor_Arr,B_Felony_Arr,B_Misdemeanor_Arr,C_Felony_Arr,D_Felony_Arr,E_Felony_Arr,Infraction_Arr,Uncl_Misdemeanor_Arr,Violation_Arr,Total_Arraignments
0,2018,1,71,11000,824,2380,570,1205,736,155,2948,437,20326
1,2018,2,41,9619,718,2108,481,1185,716,141,2657,440,18106
2,2018,3,67,10299,735,2239,541,1180,753,157,2955,388,19314
3,2018,4,80,9615,675,1993,541,1188,678,149,2678,399,17996
4,2018,5,72,10070,792,1903,635,1243,712,160,2545,459,18591
5,2018,6,62,9255,740,1545,518,1178,690,147,2188,390,16713
6,2018,7,78,9768,710,1409,602,1187,668,142,2207,424,17195
7,2018,8,80,10028,766,1347,583,1193,767,148,1972,439,17323
8,2018,9,63,8522,628,1137,574,1041,631,113,1791,305,14805
9,2018,10,91,8999,659,1302,513,1111,700,136,2061,354,15926
10,2018,11,66,8032,588,1025,432,982,701,123,1874,261,14084
11,2018,12,46,8132,500,926,418,992,607,104,1736,224,13685
12,2019,1,68,8787,583,1036,490,1177,705,139,2139,272,15396
13,2019,2,77,7728,576,915,458,917,662,118,1955,263,13669
14,2019,3,77,8749,652,1023,494,1125,728,164,2426,319,15757
15,2019,4,71,8427,604,946,490,1050,681,189,2191,377,15026
16,2019,5,66,8712,585,910,518,1049,676,157,2114,368,15155
17,2019,6,71,8025,451,827,499,954,630,123,1865,389,13834
18,2019,7,63,8757,615,838,534,1079,658,147,1950,303,14944
19,2019,8,56,8086,566,758,625,1091,689,125,1740,346,14082
20,2019,9,52,7383,593,706,589,1004,596,110,1469,419,12921
21,2019,10,78,7507,639,739,533,952,619,143,1474,394,13078
22,2019,11,45,6737,536,697,433,864,561,101,1289,401,11664
23,2019,12,34,6028,411,579,365,834,490,76,1293,166,10276
24,2020,1,61,6149,496,486,512,918,463,103,1215,195,10598
25,2020,2,43,6247,502,528,454,893,504,126,1358,190,10845
26,2020,3,31,4830,437,373,466,759,386,62,899,161,8404
27,2020,4,24,2433,246,188,351,553,229,4,136,52,4216
28,2020,5,52,3864,421,273,682,900,437,18,299,78,7024
29,2020,6,31,2313,184,200,385,942,280,7,144,34,4520
30,2020,7,54,2420,273,213,342,635,263,16,177,23,4416
31,2020,8,42,3158,460,211,502,749,317,13,241,52,5745
32,2020,9,49,3889,448,278,766,778,410,19,476,78,7191
33,2020,10,57,5097,520,363,653,865,506,32,576,88,8757
34,2020,11,41,4365,387,296,603,697,459,41,513,87,7489
35,2020,12,35,4426,461,315,603,794,410,33,435,88,7600
36,2021,1,72,5007,427,327,672,842,449,43,556,95,8490
37,2021,2,62,4363,406,281,527,705,354,44,502,95,7339
38,2021,3,52,5294,463,369,636,845,444,50,698,115,8966
39,2021,4,61,4492,310,337,382,712,367,31,587,90,7369
40,2021,5,65,5182,359,317,473,752,377,60,712,88,8385
41,2021,6,56,6016,525,366,462,841,430,65,881,111,9753
42,2021,7,57,7452,519,446,625,831,498,67,1033,120,11648
43,2021,8,54,7353,590,479,554,820,493,76,1012,113,11544
44,2021,9,50,6225,522,432,584,834,412,60,719,113,9951
45,2021,10,67,6524,501,398,639,905,426,45,728,114,10347
46,2021,11,49,5877,472,340,521,770,402,60,769,88,9348
47,2021,12,52,5773,445,386,540,807,382,37,678,88,9188
48,2022,1,53,5721,452,394,577,824,416,33,598,82,9150
49,2022,2,50,5917,530,369,481,849,444,58,668,95,9461
50,2022,3,56,7407,608,437,592,969,502,111,871,129,11682
51,2022,4,66,7432,547,511,598,1000,481,82,934,143,11794
52,2022,5,55,7579,553,512,613,1035,527,67,949,125,12015
53,2022,6,75,7411,570,481,586,977,498,53,813,137,11601
54,2022,7,65,7320,470,432,599,1061,479,40,757,108,11331
55,2022,8,71,6925,493,431,606,1044,529,33,750,137,11019
56,2022,9,70,6626,511,446,662,1022,500,51,810,140,10838
57,2022,10,48,7138,528,453,664,1050,541,57,930,189,11598
58,2022,11,51,7135,496,463,582,981,510,66,1053,175,11512
59,2022,12,64,6572,443,429,572,976,485,59,1156,145,10901
60,2023,1,1,162,7,8,26,27,15,1,24,3,274
