,year,month,BailNotPosted_ArrRel,BailPosted_ArrRel,NonMonetaryCondit_ArrRel,Other_ArrRel,ROR_ArrRel,Remand_ArrRel,Total_Arraignments
0,2018,1,2684,369,426,5921,10866,125,20391
1,2018,2,2290,334,413,4773,10244,116,18170
2,2018,3,2332,392,461,5037,11058,97,19377
3,2018,4,2291,413,465,4608,10184,95,18056
4,2018,5,2487,419,493,4579,10571,101,18650
5,2018,6,2258,454,386,3999,9547,112,16756
6,2018,7,2286,387,417,4080,9961,99,17230
7,2018,8,2510,381,469,3847,10064,111,17382
8,2018,9,2065,278,402,3110,8918,89,14862
9,2018,10,2244,367,458,3481,9320,106,15976
10,2018,11,2033,337,401,2825,8457,71,14124
11,2018,12,1878,289,387,2751,8357,70,13732
12,2019,1,2161,304,358,2961,9583,134,15501
13,2019,2,1886,257,397,2720,8374,132,13766
14,2019,3,1992,368,451,3141,9798,135,15885
15,2019,4,1921,280,384,3212,9189,165,15151
16,2019,5,2007,293,416,2915,9513,134,15278
17,2019,6,1878,253,483,2791,8402,164,13971
18,2019,7,1972,215,593,2848,9279,176,15083
19,2019,8,1852,176,575,2673,8765,164,14205
20,2019,9,1731,187,481,2435,8051,146,13031
21,2019,10,1689,206,534,2436,8187,143,13195
22,2019,11,1398,149,467,2136,7485,135,11770
23,2019,12,891,91,647,1949,6680,134,10392
24,2020,1,874,70,1097,1885,6671,129,10726
25,2020,2,949,86,1408,2102,6286,134,10965
26,2020,3,756,87,778,1375,5394,101,8491
27,2020,4,518,33,7,210,3426,47,4241
28,2020,5,887,94,13,401,5596,68,7059
29,2020,6,619,71,4,163,3616,76,4549
30,2020,7,790,100,283,225,2956,94,4448
31,2020,8,1010,90,816,347,3428,105,5796
32,2020,9,1221,169,856,752,4126,133,7257
33,2020,10,1197,150,920,999,5432,114,8812
34,2020,11,988,121,855,858,4609,116,7547
35,2020,12,982,112,1079,784,4591,94,7642
36,2021,1,1130,138,1030,955,5172,113,8538
37,2021,2,966,95,925,864,4427,115,7392
38,2021,3,1148,109,1086,1167,5408,110,9028
39,2021,4,943,76,849,1085,4359,124,7436
40,2021,5,1073,125,1032,1169,4907,148,8454
41,2021,6,1177,105,1184,1584,5627,140,9817
42,2021,7,1250,144,1341,2316,6542,138,11731
43,2021,8,1286,104,1497,2229,6364,160,11640
44,2021,9,1020,97,1398,1668,5714,116,10013
45,2021,10,1004,98,1591,1684,5930,117,10424
46,2021,11,886,107,1362,1507,5425,150,9437
47,2021,12,1002,81,1383,1538,5117,132,9253
48,2022,1,965,107,1455,1453,5121,133,9234
49,2022,2,1106,84,1458,1486,5273,146,9553
50,2022,3,1257,109,1866,1999,6392,154,11777
51,2022,4,1165,111,1937,2093,6451,140,11897
52,2022,5,1262,115,1947,2174,6462,147,12107
53,2022,6,1263,110,1847,1904,6421,150,11695
54,2022,7,1256,145,1818,1874,6174,161,11428
55,2022,8,1323,111,1885,1830,5797,161,11107
56,2022,9,1402,124,1874,1842,5515,166,10923
57,2022,10,1353,139,1948,2105,6001,151,11697
58,2022,11,1218,105,1774,2325,6028,148,11598
59,2022,12,1160,98,1779,2113,5710,148,11008
60,2023,1,38,3,37,32,163,6,279
