,year,month,Staff_Assaults
0,2016,1,13
1,2016,2,139
2,2016,3,9
3,2016,4,178
4,2016,5,167
5,2016,6,181
6,2016,7,189
7,2016,8,203
8,2016,9,216
9,2016,10,192
10,2016,11,244
11,2016,12,146
12,2017,1,181
13,2017,2,221
14,2017,3,186
15,2017,4,172
16,2017,5,250
17,2017,6,232
18,2017,7,260
19,2017,8,273
20,2017,9,239
21,2017,10,150
22,2017,11,192
23,2017,12,195
24,2018,1,269
25,2018,2,263
26,2018,3,235
27,2018,4,179
28,2018,5,224
29,2018,6,194
30,2018,7,211
31,2018,8,203
32,2018,9,230
33,2018,10,212
34,2019,6,12
35,2019,7,39
36,2020,4,2
