,year,month,Felony_Crimes,Misdemeanor_Crimes,Violation_Crimes,Total_Crimes
0,2014,1,12414,22455,4525,39394
1,2014,2,10534,19948,4069,34551
2,2014,3,11929,23871,4861,40661
3,2014,4,11827,23104,4859,39790
4,2014,5,13112,25445,5945,44502
5,2014,6,13090,23764,6194,43048
6,2014,7,13967,24726,6319,45012
7,2014,8,13811,25582,5568,44961
8,2014,9,13117,24123,5662,42902
9,2014,10,13855,24570,5675,44100
10,2014,11,12131,21132,4687,37950
11,2014,12,11782,18665,4670,35117
12,2015,1,11561,19156,4439,35156
13,2015,2,9816,17427,4018,31261
14,2015,3,11482,21639,4891,38012
15,2015,4,11898,22587,5033,39518
16,2015,5,12845,24214,5781,42840
17,2015,6,12455,23498,5623,41576
18,2015,7,13771,24653,5956,44380
19,2015,8,14193,24749,5948,44890
20,2015,9,13378,22671,5747,41796
21,2015,10,13671,22326,5517,41514
22,2015,11,12764,20650,5154,38568
23,2015,12,12982,20894,5209,39085
24,2016,1,11969,21146,5301,38416
25,2016,2,10807,19142,4816,34765
26,2016,3,12166,22030,5604,39800
27,2016,4,12003,22283,5412,39698
28,2016,5,12725,23392,5903,42020
29,2016,6,12823,23109,6061,41993
30,2016,7,13301,22684,5885,41870
31,2016,8,13644,23385,5987,43016
32,2016,9,12494,21609,5759,39862
33,2016,10,13265,22207,5886,41358
34,2016,11,12022,20217,5281,37520
35,2016,12,12368,20440,5057,37865
36,2017,1,11891,21451,5386,38728
37,2017,2,10219,18268,4644,33131
38,2017,3,11026,20162,5197,36385
39,2017,4,11223,21046,5511,37780
40,2017,5,12025,22593,6035,40653
41,2017,6,12155,22350,5953,40458
42,2017,7,12868,23221,5866,41955
43,2017,8,12705,23288,5791,41784
44,2017,9,12243,22337,5902,40482
45,2017,10,12939,22764,6269,41972
46,2017,11,11511,20677,5515,37703
47,2017,12,11604,20043,5306,36953
48,2018,1,11301,20920,5451,37672
49,2018,2,10174,19206,5194,34574
50,2018,3,11119,20643,5607,37369
51,2018,4,10894,20872,5699,37465
52,2018,5,12378,22153,6625,41156
53,2018,6,12196,21464,6223,39883
54,2018,7,12693,22665,6420,41778
55,2018,8,12794,22353,6302,41449
56,2018,9,11964,20895,6284,39143
57,2018,10,12176,20787,6180,39143
58,2018,11,11303,19324,5488,36115
59,2018,12,11764,19351,5495,36610
60,2019,1,10986,19702,5508,36196
61,2019,2,9628,17295,5005,31928
62,2019,3,10880,19769,5834,36483
63,2019,4,10906,19550,5999,36455
64,2019,5,12176,21587,6495,40258
65,2019,6,12339,21237,6438,40014
66,2019,7,13294,22698,6443,42435
67,2019,8,13094,21614,6334,41042
68,2019,9,12682,21427,6305,40414
69,2019,10,12750,20943,6218,39911
70,2019,11,11737,19441,5895,37073
71,2019,12,11569,19336,5914,36819
72,2020,1,12267,20550,6048,38865
73,2020,2,11156,18689,5743,35588
74,2020,3,10315,16967,5506,32788
75,2020,4,8020,12938,4095,25053
76,2020,5,10137,17001,5063,32201
77,2020,6,10832,16376,5578,32786
78,2020,7,11410,18063,6239,35712
79,2020,8,12695,18720,6313,37728
80,2020,9,12451,17804,5913,36168
81,2020,10,12636,18911,6030,37577
82,2020,11,11906,17888,5505,35299
83,2020,12,11301,17107,5218,33626
84,2021,1,10846,17165,5268,33279
85,2021,2,9023,14473,4928,28424
86,2021,3,10866,18041,5877,34784
87,2021,4,10442,16594,5787,32823
88,2021,5,11870,18657,6377,36904
89,2021,6,12245,18895,6594,37734
90,2021,7,13054,19912,6619,39585
91,2021,8,12920,19547,6712,39179
92,2021,9,13437,19828,6858,40123
93,2021,10,14479,21342,7365,43186
94,2021,11,14858,20141,6518,41517
95,2021,12,14873,19787,6397,41057
96,2022,1,13069,18896,6252,38217
97,2022,2,12706,18968,5795,37469
98,2022,3,13992,22486,7076,43554
99,2022,4,13737,21930,6870,42537
100,2022,5,15040,23310,7534,45884
101,2022,6,15496,23773,7706,46975
102,2022,7,16162,23919,7226,47307
103,2022,8,15507,23667,7309,46483
104,2022,9,15201,22572,7082,44855
105,2022,10,15243,23308,7230,45781
106,2022,11,14105,22152,6922,43179
107,2022,12,12842,19895,6126,38863
108,2023,1,14376,22609,6734,43719
109,2023,2,12396,19985,6053,38434
110,2023,3,13131,21129,6667,40927
